"Номер вектора","Номер задачи","amax","Целевой вес"
1,1,1073741824,3810240233
1,2,1073741824,2846063808
1,3,1073741824,349292806
1,4,1073741824,1601432630
1,5,1073741824,3438040337
1,6,1073741824,791169492
1,7,1073741824,2921073837
1,8,1073741824,4145634665
1,9,1073741824,1344035826
1,10,1073741824,2983632998
1,11,1073741824,1472959362
1,12,1073741824,2314515772
1,13,1073741824,939474321
1,14,1073741824,1910709766
1,15,1073741824,1216791661
1,16,1073741824,2722401723
1,17,1073741824,4466244143
1,18,1073741824,3319219596
1,19,1073741824,1692339430
1,20,1073741824,1334779387
1,21,1073741824,1772128340
1,22,1073741824,2512230638
1,23,1073741824,3505966586
1,24,1073741824,1530125552
1,25,1073741824,1314325572
1,26,1073741824,3340550008
1,27,1073741824,3464786859
1,28,1073741824,2155298978
1,29,1073741824,1831259623
1,30,1073741824,1074440160
1,31,1073741824,1978523329
1,32,1073741824,3143453045
1,33,1073741824,4326355126
1,34,1073741824,4528725750
1,35,1073741824,349292806
1,36,1073741824,3140519764
1,37,1073741824,4591945352
1,38,1073741824,1936707050
1,39,1073741824,378095377
1,40,1073741824,4493050798
1,41,1073741824,2495504077
1,42,1073741824,954486945
1,43,1073741824,1982706946
1,44,1073741824,2373988656
1,45,1073741824,3737077391
1,46,1073741824,2886406483
1,47,1073741824,3565101799
1,48,1073741824,378095377
1,49,1073741824,1932567593
1,50,1073741824,3819881816
2,51,106528681.309991,266824998
2,52,106528681.309991,49492360
2,53,106528681.309991,100733952
2,54,106528681.309991,189370346
2,55,106528681.309991,378308762
2,56,106528681.309991,34745937
2,57,106528681.309991,97143761
2,58,106528681.309991,104939657
2,59,106528681.309991,181940969
2,60,106528681.309991,102113117
2,61,106528681.309991,143728971
2,62,106528681.309991,16420172
2,63,106528681.309991,351678093
2,64,106528681.309991,271873217
2,65,106528681.309991,454665550
2,66,106528681.309991,246634352
2,67,106528681.309991,171192913
2,68,106528681.309991,374258633
2,69,106528681.309991,94872977
2,70,106528681.309991,351342498
2,71,106528681.309991,162975457
2,72,106528681.309991,132673788
2,73,106528681.309991,258134559
2,74,106528681.309991,20356125
2,75,106528681.309991,34745937
2,76,106528681.309991,181700263
2,77,106528681.309991,186655016
2,78,106528681.309991,291225866
2,79,106528681.309991,297500341
2,80,106528681.309991,82744676
2,81,106528681.309991,322466612
2,82,106528681.309991,130354214
2,83,106528681.309991,144578604
2,84,106528681.309991,261428066
2,85,106528681.309991,340347081
2,86,106528681.309991,241960314
2,87,106528681.309991,71101400
2,88,106528681.309991,203310923
2,89,106528681.309991,353652207
2,90,106528681.309991,199878363
2,91,106528681.309991,200051733
2,92,106528681.309991,205883361
2,93,106528681.309991,297642902
2,94,106528681.309991,421170331
2,95,106528681.309991,308842035
2,96,106528681.309991,49500154
2,97,106528681.309991,276189948
2,98,106528681.309991,269061050
2,99,106528681.309991,100733952
2,100,106528681.309991,34745937
3,101,16777216,14163136
3,102,16777216,18455381
3,103,16777216,22045380
3,104,16777216,50341476
3,105,16777216,6389251
3,106,16777216,22226828
3,107,16777216,24468168
3,108,16777216,36800811
3,109,16777216,32222652
3,110,16777216,20411769
3,111,16777216,28109177
3,112,16777216,40308357
3,113,16777216,8333412
3,114,16777216,37273304
3,115,16777216,15763838
3,116,16777216,11747958
3,117,16777216,15359938
3,118,16777216,26161338
3,119,16777216,59212855
3,120,16777216,36845336
3,121,16777216,56586337
3,122,16777216,33664259
3,123,16777216,67283853
3,124,16777216,16348753
3,125,16777216,47268891
3,126,16777216,49805585
3,127,16777216,20559690
3,128,16777216,1769862
3,129,16777216,14907977
3,130,16777216,41448928
3,131,16777216,7026526
3,132,16777216,36481835
3,133,16777216,27935539
3,134,16777216,12755437
3,135,16777216,2023261
3,136,16777216,42183070
3,137,16777216,39777796
3,138,16777216,46339823
3,139,16777216,64817804
3,140,16777216,35044382
3,141,16777216,19208942
3,142,16777216,56087682
3,143,16777216,26632355
3,144,16777216,10411603
3,145,16777216,31613907
3,146,16777216,15677387
3,147,16777216,44955004
3,148,16777216,34332348
3,149,16777216,29270921
3,150,16777216,17436090
4,151,3697661.72719483,13194064
4,152,3697661.72719483,3179612
4,153,3697661.72719483,3018524
4,154,3697661.72719483,2424270
4,155,3697661.72719483,8457732
4,156,3697661.72719483,394655
4,157,3697661.72719483,11769704
4,158,3697661.72719483,5342753
4,159,3697661.72719483,3236930
4,160,3697661.72719483,5887056
4,161,3697661.72719483,11335547
4,162,3697661.72719483,3069694
4,163,3697661.72719483,7168594
4,164,3697661.72719483,3201409
4,165,3697661.72719483,10910589
4,166,3697661.72719483,3579304
4,167,3697661.72719483,1438767
4,168,3697661.72719483,6658048
4,169,3697661.72719483,3583284
4,170,3697661.72719483,8401628
4,171,3697661.72719483,3146062
4,172,3697661.72719483,1249344
4,173,3697661.72719483,7238882
4,174,3697661.72719483,6520968
4,175,3697661.72719483,7024522
4,176,3697661.72719483,4634297
4,177,3697661.72719483,394655
4,178,3697661.72719483,3218493
4,179,3697661.72719483,580484
4,180,3697661.72719483,10277346
4,181,3697661.72719483,394655
4,182,3697661.72719483,4788015
4,183,3697661.72719483,3614834
4,184,3697661.72719483,7135038
4,185,3697661.72719483,4817295
4,186,3697661.72719483,5592327
4,187,3697661.72719483,11269655
4,188,3697661.72719483,10679668
4,189,3697661.72719483,8008225
4,190,3697661.72719483,3266196
4,191,3697661.72719483,854387
4,192,3697661.72719483,10804431
4,193,3697661.72719483,658396
4,194,3697661.72719483,3583284
4,195,3697661.72719483,8796261
4,196,3697661.72719483,3561255
4,197,3697661.72719483,1920430
