Номер вектора,Вектор,amax
1,"[ 89952 119487 139765  63988  67042  68207  40320  77355 136791  61519
 116351  18393  78190 103117    588  17475  97204  15795  98771  39492
  26528  45198  53348 120571]",139765
2,"[ 57625 117144 126324  77985 137371  18431   8059  93197  83605 129012
  65210 105699   2575 119755 125599  81375 122403 101725 105589  73495
  97652  58806 112165  88266]",137371
3,"[ 32180  65231  71439  86424 133870  12865 100387  53212  56589  82634
 132318  54865  74183  82253  61335  34644  83005 140991  53864  98384
  23522 103237  69615  86837]",140991
4,"[ 84487  40512  53432  47032 126744  84497 132705  17190  62058  49352
  73200  65059   8105 120539 103947  59801  92218 132714  16709  76450
  61104 140869  61952 103992]",140869
5,"[  5910  34950  15815 143399 121656  37800 140476   2172  43174 117121
  98389  53563  84749  65610  29620  47913  90514 142678 114085 123665
 118988  58086  75057  59670]",143399
6,"[ 93933 142544  31054  56658  49499 129521  48325   2948  32274 106172
   1435 133402  45016 122119  32614  66350  89470  79756 114035  77295
  43823 120655   9433 120148]",142544
7,"[ 25460  42960   7161  38270  59648  13594 112389  18946 100736  71046
  10124 118753  71817  97930  10670 121625  94014  69332  96903  94682
  44815 125476  49395 125924]",125924
8,"[131305 110205 105903 116054 115117 122089 104241 126884   1631 110703
  48453  38261  78612 124760  21374  82942  84977  56948  39443  46104
  52331  16184  93856  33537]",131305
9,"[ 62569 113658  96018  76535  49002 140214  70775  29639 142744  59849
   4379  38242  58688   1440  79046  69502  32623  59898 117652 120615
  60627  37504   5794  93835]",142744
10,"[138054  98601  87924  17453   7489 106179  98101  72980  49771  69937
 138510 113427 139868  35445 140582 113292  71427  39479  96936 105538
 137436  39590  62512  99444]",140582
11,"[  9921  11060 117308 109162 112912  81583   9729 144292 101112 100062
  31529  80056  35779  13410  70877   8183  88117  49611  48780  20567
  62042  23586  69659  69870]",144292
12,"[ 24850  52763  23491 117160  85230  24669 121538  39626  25908  34194
 108929 136119 131713  82689  49672 119008   8180  15420  29006  35422
  87400  16475   9979  79142]",136119
13,"[ 38699  17273  78665  43220  28057 108072  22578  53029  68674  23000
 108113 116486  87863 111751  84854   1300  27340  90053  82035 140789
   7319   8514  71919  63290]",140789
14,"[140943 130008  80273  28132 142281 113188 136601  60759  35433 117529
  57470 104703  38998  59804  68841  31445  23926 119880  74772  67562
 102316  36670  11703  37268]",142281
15,"[ 31026  62776  24477   1609  76174  71704 117474  84973  94322  44844
  20553 100384  18351 120009  58287  93435 118536 106070  72764  74975
  80079  89143 136802  92268]",136802
