Номер задачи,Номер вектора,Целевой вес,Доля предметов
1,1,115043,0.1
2,1,39729,0.2
3,1,49932,0.3
4,1,57501,0.4
5,1,6474,0.5
6,1,136606,0.1
7,1,38042,0.2
8,1,96430,0.3
9,1,20723,0.4
10,1,22756,0.5
11,1,46767,1.0
12,2,29766,0.1
13,2,33526,0.2
14,2,134319,0.3
15,2,6654,0.4
16,2,25553,0.5
17,2,52811,0.1
18,2,42717,0.2
19,2,124196,0.3
20,2,18003,0.4
21,2,125722,0.5
22,2,60753,1.0
23,3,104935,0.1
24,3,109259,0.2
25,3,73890,0.3
26,3,71501,0.4
27,3,140013,0.5
28,3,6033,0.1
29,3,111878,0.2
30,3,67641,0.3
31,3,64841,0.4
32,3,114355,0.5
33,3,83189,1.0
34,4,92618,0.1
35,4,142137,0.2
36,4,72072,0.3
37,4,85028,0.4
38,4,118351,0.5
39,4,72481,0.1
40,4,61219,0.2
41,4,103444,0.3
42,4,34192,0.4
43,4,34020,0.5
44,4,30278,1.0
45,5,9568,0.1
46,5,77869,0.2
47,5,65845,0.3
48,5,138503,0.4
49,5,135463,0.5
50,5,125670,0.1
51,5,47437,0.2
52,5,124994,0.3
53,5,61656,0.4
54,5,7147,0.5
55,5,135045,1.0
56,6,35141,0.1
57,6,37618,0.2
58,6,123785,0.3
59,6,34218,0.4
60,6,112976,0.5
61,6,101123,0.1
62,6,129721,0.2
63,6,126242,0.3
64,6,79459,0.4
65,6,78602,0.5
66,6,35651,1.0
67,7,21709,0.1
68,7,26394,0.2
69,7,31152,0.3
70,7,108199,0.4
71,7,144671,0.5
72,7,4596,0.1
73,7,30900,0.2
74,7,74251,0.3
75,7,7098,0.4
76,7,81081,0.5
77,7,85151,1.0
78,8,136955,0.1
79,8,129937,0.2
80,8,100763,0.3
81,8,81292,0.4
82,8,33210,0.5
83,8,44895,0.1
84,8,13486,0.2
85,8,127376,0.3
86,8,118593,0.4
87,8,80516,0.5
88,8,137931,1.0
89,9,18063,0.1
90,9,113549,0.2
91,9,53581,0.3
92,9,6420,0.4
93,9,108814,0.5
94,9,105348,0.1
95,9,92963,0.2
96,9,127825,0.3
97,9,23437,0.4
98,9,103315,0.5
99,9,52878,1.0
100,10,140403,0.1
101,10,74966,0.2
102,10,58173,0.3
103,10,108722,0.4
104,10,65161,0.5
105,10,112291,0.1
106,10,92768,0.2
107,10,79058,0.3
108,10,51668,0.4
109,10,92928,0.5
110,10,92781,1.0
111,11,110704,0.1
112,11,222,0.2
113,11,1758,0.3
114,11,96721,0.4
115,11,36245,0.5
116,11,143249,0.1
117,11,129152,0.2
118,11,33491,0.3
119,11,7299,0.4
120,11,17682,0.5
121,11,130162,1.0
122,12,115864,0.1
123,12,133784,0.2
124,12,10007,0.3
125,12,107447,0.4
126,12,56484,0.5
127,12,89933,0.1
128,12,127012,0.2
129,12,92606,0.3
130,12,102566,0.4
131,12,39436,0.5
132,12,5139,1.0
133,13,27466,0.1
134,13,30354,0.2
135,13,89417,0.3
136,13,107832,0.4
137,13,1666,0.5
138,13,75392,0.1
139,13,12944,0.2
140,13,83917,0.3
141,13,65861,0.4
142,13,104373,0.5
143,13,112964,1.0
144,14,31984,0.1
145,14,114559,0.2
146,14,75389,0.3
147,14,25719,0.4
148,14,134298,0.5
149,14,35406,0.1
150,14,30151,0.2
151,14,62559,0.3
152,14,109958,0.4
153,14,50551,0.5
154,14,92060,1.0
155,15,28989,0.1
156,15,70402,0.2
157,15,50050,0.3
158,15,19114,0.4
159,15,133568,0.5
160,15,127699,0.1
161,15,144556,0.2
162,15,40381,0.3
163,15,113233,0.4
164,15,90558,0.5
165,15,70706,1.0
166,16,86095,0.1
167,16,3330,0.2
168,16,164,0.3
169,16,140711,0.4
170,16,24804,0.5
171,16,23329,0.1
172,16,10277,0.2
173,16,126465,0.3
174,16,87743,0.4
175,16,86093,0.5
176,16,30478,1.0
177,17,53134,0.1
178,17,59103,0.2
179,17,33519,0.3
180,17,69667,0.4
181,17,113605,0.5
182,17,124143,0.1
183,17,135475,0.2
184,17,72412,0.3
185,17,2026,0.4
186,17,39075,0.5
187,17,115443,1.0
188,18,42384,0.1
189,18,75116,0.2
190,18,135795,0.3
191,18,138114,0.4
192,18,83178,0.5
193,18,36267,0.1
194,18,24669,0.2
195,18,11626,0.3
196,18,103507,0.4
197,18,121141,0.5
198,18,128952,1.0
199,19,94455,0.1
200,19,69058,0.2
201,19,59804,0.3
202,19,87917,0.4
203,19,42845,0.5
204,19,32060,0.1
205,19,51714,0.2
206,19,89624,0.3
207,19,70125,0.4
208,19,97151,0.5
209,19,62438,1.0
210,20,121729,0.1
211,20,62479,0.2
212,20,7575,0.3
213,20,81568,0.4
214,20,38573,0.5
215,20,119003,0.1
216,20,144383,0.2
217,20,113421,0.3
218,20,72245,0.4
219,20,46166,0.5
220,20,70813,1.0
221,21,70265,0.1
222,21,118446,0.2
223,21,18422,0.3
224,21,86816,0.4
225,21,4507,0.5
226,21,131306,0.1
227,21,88066,0.2
228,21,64857,0.3
229,21,40901,0.4
230,21,113497,0.5
231,21,13107,1.0
232,22,130370,0.1
233,22,54114,0.2
234,22,128983,0.3
235,22,76675,0.4
236,22,129310,0.5
237,22,23003,0.1
238,22,69965,0.2
239,22,43375,0.3
240,22,70922,0.4
241,22,143978,0.5
242,22,138870,1.0
243,23,33380,0.1
244,23,137363,0.2
245,23,74185,0.3
246,23,25953,0.4
247,23,35220,0.5
248,23,135230,0.1
249,23,91508,0.2
250,23,142620,0.3
251,23,127899,0.4
252,23,57180,0.5
253,23,136659,1.0
254,24,35388,0.1
255,24,30728,0.2
256,24,21755,0.3
257,24,126804,0.4
258,24,77547,0.5
259,24,136188,0.1
260,24,129443,0.2
261,24,117195,0.3
262,24,136889,0.4
263,24,78766,0.5
264,24,77804,1.0
265,25,45417,0.1
266,25,111532,0.2
267,25,27208,0.3
268,25,77136,0.4
269,25,138961,0.5
270,25,59192,0.1
271,25,80154,0.2
272,25,85928,0.3
273,25,41689,0.4
274,25,87219,0.5
275,25,109887,1.0
276,26,9039,0.1
277,26,89381,0.2
278,26,23142,0.3
279,26,37650,0.4
280,26,82629,0.5
281,26,65050,0.1
282,26,9902,0.2
283,26,137335,0.3
284,26,23854,0.4
285,26,126250,0.5
286,26,82823,1.0
287,27,78103,0.1
288,27,90574,0.2
289,27,6130,0.3
290,27,1674,0.4
291,27,110285,0.5
292,27,41224,0.1
293,27,26962,0.2
294,27,3985,0.3
295,27,25760,0.4
296,27,73166,0.5
297,27,71648,1.0
298,28,31066,0.1
299,28,83418,0.2
300,28,48813,0.3
301,28,24203,0.4
302,28,84906,0.5
303,28,118363,0.1
304,28,21277,0.2
305,28,118058,0.3
306,28,6627,0.4
307,28,82903,0.5
308,28,77836,1.0
309,29,60195,0.1
310,29,57476,0.2
311,29,132846,0.3
312,29,62700,0.4
313,29,7945,0.5
314,29,126739,0.1
315,29,32410,0.2
316,29,142797,0.3
317,29,15129,0.4
318,29,50080,0.5
319,29,26641,1.0
320,30,126826,0.1
321,30,97069,0.2
322,30,113964,0.3
323,30,51328,0.4
324,30,23993,0.5
325,30,9429,0.1
326,30,14527,0.2
327,30,102278,0.3
328,30,68783,0.4
329,30,101160,0.5
330,30,22788,1.0
331,31,28055,0.1
332,31,9792,0.2
333,31,5792,0.3
334,31,19345,0.4
335,31,113756,0.5
336,31,91936,0.1
337,31,45159,0.2
338,31,143470,0.3
339,31,84806,0.4
340,31,127375,0.5
341,31,42172,1.0
342,32,40109,0.1
343,32,67623,0.2
344,32,117592,0.3
345,32,21321,0.4
346,32,64742,0.5
347,32,34364,0.1
348,32,55635,0.2
349,32,7551,0.3
350,32,1057,0.4
351,32,72256,0.5
352,32,10973,1.0
353,33,11753,0.1
354,33,3034,0.2
355,33,28800,0.3
356,33,87571,0.4
357,33,18594,0.5
358,33,15127,0.1
359,33,75519,0.2
360,33,117783,0.3
361,33,861,0.4
362,33,31303,0.5
363,33,13768,1.0
364,34,52930,0.1
365,34,68256,0.2
366,34,53173,0.3
367,34,104535,0.4
368,34,134440,0.5
369,34,109176,0.1
370,34,82368,0.2
371,34,70684,0.3
372,34,117201,0.4
373,34,34216,0.5
374,34,134279,1.0
375,35,32196,0.1
376,35,61969,0.2
377,35,32423,0.3
378,35,110859,0.4
379,35,25712,0.5
380,35,42001,0.1
381,35,22337,0.2
382,35,84940,0.3
383,35,45291,0.4
384,35,80426,0.5
385,35,141771,1.0
386,36,127393,0.1
387,36,33358,0.2
388,36,77855,0.3
389,36,130915,0.4
390,36,79100,0.5
391,36,141069,0.1
392,36,29901,0.2
393,36,95381,0.3
394,36,43528,0.4
395,36,41449,0.5
396,36,50362,1.0
397,37,103183,0.1
398,37,1338,0.2
399,37,62690,0.3
400,37,105558,0.4
401,37,130121,0.5
402,37,61085,0.1
403,37,110283,0.2
404,37,25705,0.3
405,37,80705,0.4
406,37,135534,0.5
407,37,88532,1.0
408,38,14058,0.1
409,38,9601,0.2
410,38,101674,0.3
411,38,89434,0.4
412,38,92128,0.5
413,38,35638,0.1
414,38,25703,0.2
415,38,68672,0.3
416,38,82850,0.4
417,38,121629,0.5
418,38,68042,1.0
419,39,587,0.1
420,39,15360,0.2
421,39,30568,0.3
422,39,108822,0.4
423,39,69740,0.5
424,39,19978,0.1
425,39,116040,0.2
426,39,92663,0.3
427,39,2986,0.4
428,39,110555,0.5
429,39,80688,1.0
430,40,123744,0.1
431,40,88117,0.2
432,40,36760,0.3
433,40,41281,0.4
434,40,65649,0.5
435,40,109114,0.1
436,40,58646,0.2
437,40,79301,0.3
438,40,103019,0.4
439,40,1500,0.5
440,40,70130,1.0
441,41,10488,0.1
442,41,103251,0.2
443,41,50947,0.3
444,41,18774,0.4
445,41,86396,0.5
446,41,57090,0.1
447,41,89839,0.2
448,41,102103,0.3
449,41,59691,0.4
450,41,36314,0.5
451,41,17644,1.0
452,42,3033,0.1
453,42,36957,0.2
454,42,63805,0.3
455,42,128883,0.4
456,42,12005,0.5
457,42,63856,0.1
458,42,117576,0.2
459,42,47195,0.3
460,42,119501,0.4
461,42,136344,0.5
462,42,37706,1.0
463,43,14488,0.1
464,43,82247,0.2
465,43,142628,0.3
466,43,10621,0.4
467,43,78421,0.5
468,43,119911,0.1
469,43,33934,0.2
470,43,64554,0.3
471,43,43793,0.4
472,43,91485,0.5
473,43,23862,1.0
474,44,91286,0.1
475,44,47935,0.2
476,44,49349,0.3
477,44,16624,0.4
478,44,3722,0.5
479,44,28824,0.1
480,44,8953,0.2
481,44,50745,0.3
482,44,75764,0.4
483,44,55199,0.5
484,44,80563,1.0
485,45,120720,0.1
486,45,133126,0.2
487,45,75039,0.3
488,45,134308,0.4
489,45,10261,0.5
490,45,86123,0.1
491,45,135289,0.2
492,45,118765,0.3
493,45,7457,0.4
494,45,119236,0.5
495,45,110078,1.0
496,46,124608,0.1
497,46,116178,0.2
498,46,142306,0.3
499,46,114762,0.4
500,46,110900,0.5
501,46,72850,0.1
502,46,27917,0.2
503,46,106554,0.3
504,46,129037,0.4
505,46,78404,0.5
506,46,83130,1.0
507,47,17109,0.1
508,47,4853,0.2
509,47,22153,0.3
510,47,73511,0.4
511,47,56366,0.5
512,47,90738,0.1
513,47,71323,0.2
514,47,14179,0.3
515,47,65100,0.4
516,47,23222,0.5
517,47,96509,1.0
518,48,12622,0.1
519,48,85371,0.2
520,48,36553,0.3
521,48,43286,0.4
522,48,108503,0.5
523,48,49904,0.1
524,48,32463,0.2
